platform,order_id,order_date,order_time,subtotal,commission_rate_pct,commission_amount,net_payout,status,refund_date,campaign_id,notes
Just Eat Takeaway,JET-1049243,2024-08-12,20:20,45.75,20,9.15,36.60,completed,,JET-CAMP-NEWMENU,
Just Eat Takeaway,JET-1049244,2024-08-12,12:05,26.50,20,5.30,21.20,completed,,,
iFood,IFOOD-20240813-0046,2024-08-13,12:05,38.50,23,8.86,29.64,completed,,,
iFood,IFOOD-20240813-0047,2024-08-13,19:35,49.25,23,11.33,37.92,completed,,,
iFood,IFOOD-20240813-0048,2024-08-13,13:10,50.75,23,11.67,39.08,completed,,,
iFood,IFOOD-20240813-0049,2024-08-13,20:20,37.50,23,8.63,28.87,completed,,,
Just Eat Takeaway,JET-1049245,2024-08-13,19:35,35.75,20,7.15,28.60,completed,,,
Just Eat Takeaway,JET-1049246,2024-08-13,13:10,46.50,20,9.30,37.20,completed,,,
Just Eat Takeaway,JET-1049247,2024-08-13,20:20,51.25,20,10.25,41.00,completed,,,
Just Eat Takeaway,JET-1049248,2024-08-13,12:05,35.75,20,7.15,28.60,completed,,,
iFood,IFOOD-20240814-0050,2024-08-14,12:05,41.00,23,9.43,31.57,completed,,,
iFood,IFOOD-20240814-0051,2024-08-14,19:35,53.75,23,12.36,41.39,completed,,,
iFood,IFOOD-20240814-0052,2024-08-14,13:10,48.25,23,11.10,37.15,completed,,,
iFood,IFOOD-20240814-0053,2024-08-14,20:20,44.25,23,10.18,34.07,completed,,,
Just Eat Takeaway,JET-1049249,2024-08-14,19:35,37.25,20,7.45,29.80,completed,,,
Just Eat Takeaway,JET-1049250,2024-08-14,13:10,50.00,20,10.00,40.00,completed,,JET-CAMP-NEWMENU,
Just Eat Takeaway,JET-1049251,2024-08-14,20:20,54.50,20,10.90,43.60,completed,,,
Just Eat Takeaway,JET-1049252,2024-08-14,12:05,38.75,20,7.75,31.00,completed,,,
